Time resolution is 1 ps
Time = 0 | data_in = 0000 | data_out = xxxx | rst = 0
Time = 200000 | data_in = 0000 | data_out = 0000 | rst = 1
Time = 400000 | data_in = 0000 | data_out = 0000 | rst = 0
Time = 820000 | data_in = 2c37 | data_out = 0000 | rst = 0
Time = 840000 | data_in = 1d8c | data_out = 0000 | rst = 0
Time = 860000 | data_in = ea7d | data_out = 0000 | rst = 0
Time = 880000 | data_in = dbd1 | data_out = 0000 | rst = 0
Time = 900000 | data_in = 0805 | data_out = 0000 | rst = 0
Time = 920000 | data_in = 3439 | data_out = 0000 | rst = 0
Time = 930000 | data_in = 3439 | data_out = 02c3 | rst = 0
Time = 940000 | data_in = 2589 | data_out = 02c3 | rst = 0
Time = 950000 | data_in = 2589 | data_out = 0a23 | rst = 0
Time = 960000 | data_in = f273 | data_out = 0a23 | rst = 0
Time = 970000 | data_in = f273 | data_out = 14c6 | rst = 0
Time = 980000 | data_in = e3bf | data_out = 14c6 | rst = 0
Time = 990000 | data_in = e3bf | data_out = 1821 | rst = 0
Time = 1000000 | data_in = 0feb | data_out = 1821 | rst = 0
Time = 1010000 | data_in = 0feb | data_out = 0f28 | rst = 0
Time = 1020000 | data_in = 3c14 | data_out = 0f28 | rst = 0
Time = 1030000 | data_in = 3c14 | data_out = 0128 | rst = 0
Time = 1040000 | data_in = 2d58 | data_out = 0128 | rst = 0
Time = 1050000 | data_in = 2d58 | data_out = ff8d | rst = 0
Time = 1060000 | data_in = fa35 | data_out = ff8d | rst = 0
Time = 1070000 | data_in = fa35 | data_out = 0d87 | rst = 0
Time = 1080000 | data_in = eb73 | data_out = 0d87 | rst = 0
Time = 1090000 | data_in = eb73 | data_out = 1b7e | rst = 0
Time = 1100000 | data_in = 178f | data_out = 1b7e | rst = 0
Time = 1110000 | data_in = 178f | data_out = 19dc | rst = 0
Time = 1120000 | data_in = 43a8 | data_out = 19dc | rst = 0
Time = 1130000 | data_in = 43a8 | data_out = 0e95 | rst = 0
Time = 1140000 | data_in = 34da | data_out = 0e95 | rst = 0
Time = 1150000 | data_in = 34da | data_out = 0ced | rst = 0
Time = 1160000 | data_in = 01a5 | data_out = 0ced | rst = 0
Time = 1170000 | data_in = 01a5 | data_out = 1ad7 | rst = 0
Time = 1180000 | data_in = f2ce | data_out = 1ad7 | rst = 0
Time = 1190000 | data_in = f2ce | data_out = 28be | rst = 0
Time = 1200000 | data_in = 1ed5 | data_out = 28be | rst = 0
Time = 1210000 | data_in = 1ed5 | data_out = 2708 | rst = 0
Time = 1220000 | data_in = 4ad7 | data_out = 2708 | rst = 0
Time = 1230000 | data_in = 4ad7 | data_out = 1bab | rst = 0
Time = 1240000 | data_in = 3bf2 | data_out = 1bab | rst = 0
Time = 1250000 | data_in = 3bf2 | data_out = 19ea | rst = 0
Time = 1260000 | data_in = 08a3 | data_out = 19ea | rst = 0
Time = 1270000 | data_in = 08a3 | data_out = 27bb | rst = 0
Time = 1280000 | data_in = f9b3 | data_out = 27bb | rst = 0
Time = 1290000 | data_in = f9b3 | data_out = 3585 | rst = 0
Time = 1300000 | data_in = 259e | data_out = 3585 | rst = 0
Time = 1310000 | data_in = 259e | data_out = 33b2 | rst = 0
Time = 1320000 | data_in = 5184 | data_out = 33b2 | rst = 0
Time = 1330000 | data_in = 5184 | data_out = 2835 | rst = 0
Time = 1340000 | data_in = 4281 | data_out = 2835 | rst = 0
Time = 1350000 | data_in = 4281 | data_out = 2652 | rst = 0
Time = 1360000 | data_in = 0f14 | data_out = 2652 | rst = 0
Time = 1370000 | data_in = 0f14 | data_out = 33ff | rst = 0
Time = 1380000 | data_in = 0004 | data_out = 33ff | rst = 0
Time = 1390000 | data_in = 0004 | data_out = 41a3 | rst = 0
Time = 1400000 | data_in = 2bd0 | data_out = 41a3 | rst = 0
Time = 1410000 | data_in = 2bd0 | data_out = 3fa7 | rst = 0
Time = 1420000 | data_in = 5794 | data_out = 3fa7 | rst = 0
Time = 1430000 | data_in = 5794 | data_out = 3400 | rst = 0
Time = 1440000 | data_in = 486f | data_out = 3400 | rst = 0
Time = 1450000 | data_in = 486f | data_out = 31f2 | rst = 0
Time = 1460000 | data_in = 14de | data_out = 31f2 | rst = 0
Time = 1470000 | data_in = 14de | data_out = 3f70 | rst = 0
Time = 1480000 | data_in = 05aa | data_out = 3f70 | rst = 0
Time = 1490000 | data_in = 05aa | data_out = 4ce5 | rst = 0
Time = 1500000 | data_in = 3150 | data_out = 4ce5 | rst = 0
Time = 1510000 | data_in = 3150 | data_out = 4ab8 | rst = 0
Time = 1520000 | data_in = 5cee | data_out = 4ab8 | rst = 0
Time = 1530000 | data_in = 5cee | data_out = 3edd | rst = 0
Time = 1540000 | data_in = 4da2 | data_out = 3edd | rst = 0
Time = 1550000 | data_in = 4da2 | data_out = 3c9a | rst = 0
Time = 1560000 | data_in = 19ea | data_out = 3c9a | rst = 0
Time = 1570000 | data_in = 19ea | data_out = 49e2 | rst = 0
Time = 1580000 | data_in = 0a8d | data_out = 49e2 | rst = 0
Time = 1590000 | data_in = 0a8d | data_out = 571e | rst = 0
Time = 1600000 | data_in = 3609 | data_out = 571e | rst = 0
Time = 1610000 | data_in = 3609 | data_out = 54b7 | rst = 0
Time = 1620000 | data_in = 617d | data_out = 54b7 | rst = 0
Time = 1630000 | data_in = 617d | data_out = 48a1 | rst = 0
Time = 1640000 | data_in = 5206 | data_out = 48a1 | rst = 0
Time = 1650000 | data_in = 5206 | data_out = 4620 | rst = 0
Time = 1660000 | data_in = 1e22 | data_out = 4620 | rst = 0
Time = 1670000 | data_in = 1e22 | data_out = 5329 | rst = 0
Time = 1680000 | data_in = 0e99 | data_out = 5329 | rst = 0
Time = 1690000 | data_in = 0e99 | data_out = 6025 | rst = 0
Time = 1700000 | data_in = 39e9 | data_out = 6025 | rst = 0
Time = 1710000 | data_in = 39e9 | data_out = 5d7c | rst = 0
Time = 1720000 | data_in = 652f | data_out = 5d7c | rst = 0
Time = 1730000 | data_in = 652f | data_out = 5123 | rst = 0
Time = 1740000 | data_in = 558a | data_out = 5123 | rst = 0
Time = 1750000 | data_in = 558a | data_out = 4e5d | rst = 0
Time = 1760000 | data_in = 2177 | data_out = 4e5d | rst = 0
Time = 1770000 | data_in = 2177 | data_out = 5b20 | rst = 0
Time = 1780000 | data_in = 11be | data_out = 5b20 | rst = 0
Time = 1790000 | data_in = 11be | data_out = 67d5 | rst = 0
Time = 1800000 | data_in = 3cde | data_out = 67d5 | rst = 0
Time = 1810000 | data_in = 3cde | data_out = 64e4 | rst = 0
Time = 1820000 | data_in = 67f4 | data_out = 64e4 | rst = 0
Time = 1830000 | data_in = 67f4 | data_out = 5841 | rst = 0
Time = 1840000 | data_in = 581e | data_out = 5841 | rst = 0
Time = 1850000 | data_in = 581e | data_out = 5531 | rst = 0
Time = 1860000 | data_in = 23da | data_out = 5531 | rst = 0
Time = 1870000 | data_in = 23da | data_out = 61a9 | rst = 0
Time = 1880000 | data_in = 13f0 | data_out = 61a9 | rst = 0
Time = 1890000 | data_in = 13f0 | data_out = 6e10 | rst = 0
Time = 1900000 | data_in = 3ede | data_out = 6e10 | rst = 0
Time = 1910000 | data_in = 3ede | data_out = 6ad1 | rst = 0
Time = 1920000 | data_in = 69c1 | data_out = 6ad1 | rst = 0
Time = 1930000 | data_in = 69c1 | data_out = 5ddf | rst = 0
Time = 1940000 | data_in = 59b9 | data_out = 5ddf | rst = 0
Time = 1950000 | data_in = 59b9 | data_out = 5a7f | rst = 0
Time = 1960000 | data_in = 2542 | data_out = 5a7f | rst = 0
Time = 1970000 | data_in = 2542 | data_out = 66a6 | rst = 0
Time = 1980000 | data_in = 1525 | data_out = 66a6 | rst = 0
Time = 1990000 | data_in = 1525 | data_out = 72bc | rst = 0
Time = 2000000 | data_in = 3fe0 | data_out = 72bc | rst = 0
Time = 2010000 | data_in = 3fe0 | data_out = 6f2a | rst = 0
Time = 2020000 | data_in = 6a90 | data_out = 6f2a | rst = 0
Time = 2030000 | data_in = 6a90 | data_out = 61e5 | rst = 0
Time = 2040000 | data_in = 5a54 | data_out = 61e5 | rst = 0
Time = 2050000 | data_in = 5a54 | data_out = 5e32 | rst = 0
Time = 2060000 | data_in = 25aa | data_out = 5e32 | rst = 0
Time = 2070000 | data_in = 25aa | data_out = 6a05 | rst = 0
Time = 2080000 | data_in = 1559 | data_out = 6a05 | rst = 0
Time = 2090000 | data_in = 1559 | data_out = 75c6 | rst = 0
Time = 2100000 | data_in = 3fe0 | data_out = 75c6 | rst = 0
Time = 2110000 | data_in = 3fe0 | data_out = 71df | rst = 0
Time = 2120000 | data_in = 6a5c | data_out = 71df | rst = 0
Time = 2130000 | data_in = 6a5c | data_out = 6445 | rst = 0
Time = 2140000 | data_in = 59ed | data_out = 6445 | rst = 0
Time = 2150000 | data_in = 59ed | data_out = 603b | rst = 0
Time = 2160000 | data_in = 250f | data_out = 603b | rst = 0
Time = 2170000 | data_in = 250f | data_out = 6bb8 | rst = 0
Time = 2180000 | data_in = 148a | data_out = 6bb8 | rst = 0
Time = 2190000 | data_in = 148a | data_out = 7723 | rst = 0
Time = 2200000 | data_in = 3ede | data_out = 7723 | rst = 0
Time = 2210000 | data_in = 3ede | data_out = 72e5 | rst = 0
Time = 2220000 | data_in = 6927 | data_out = 72e5 | rst = 0
Time = 2230000 | data_in = 6927 | data_out = 64f4 | rst = 0
Time = 2240000 | data_in = 5884 | data_out = 64f4 | rst = 0
Time = 2250000 | data_in = 5884 | data_out = 6093 | rst = 0
Time = 2260000 | data_in = 2374 | data_out = 6093 | rst = 0
Time = 2270000 | data_in = 2374 | data_out = 6bb8 | rst = 0
Time = 2280000 | data_in = 12bd | data_out = 6bb8 | rst = 0
Time = 2290000 | data_in = 12bd | data_out = 76cb | rst = 0
Time = 2300000 | data_in = 3cde | data_out = 76cb | rst = 0
